title,price,author,date
Quantum Physics for Beginners: An Easy and Complete Physics Book of Its Most Important Theories. Discover the Secrets of Quantum Mechanics from String Theory to Quantum Computing,$13.85,Susanne Dam Nygaard,2022-10-08
"Dear Girl: You are Amazing: Inspiring Stories about Courage, Inner Strength, and Self-Confidence",$11.90,Kindle,2022-10-08
"The Science of Baking (Ada Twist, Scientist: The Why Files #3) (The Questioneers)",$12.99,Kindle,2022-10-08
"Princeton Review AP Computer Science Principles Prep, 2023: 3 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation)",$17.99,none,2022-10-08
Science of Yoga: Understand the Anatomy and Physiology to Perfect Your Practice (DK Science of),$15.29,Ann Swanson,2022-10-08
Science of Strength Training: Understand the Anatomy and Physiology to Transform Your Body,$1.99,Austin Current,2022-10-08
Multiverse: A Technothriller,$0.00,M.A. Rothman,2022-10-08
From Seed to Pumpkin: A Fall Book for Kids (Let's-Read-and-Find-Out Science 1),none,Wendy Pfeffer,2022-10-08
"Mood Science (Franny K. Stein, Mad Scientist)",$7.99,Kindle,2022-10-08
This Way to the Universe: A Theoretical Physicist's Journey to the Edge of Reality,$19.89,Michael Dine,2022-10-08
The Girl Who Looked Beyond The Stars (Sheena Meyer),$11.94,Kindle,2022-10-08
The Wonder Of Thunder: Lessons From A Thunderstorm,$11.49,Sharon Purtill,2022-10-08
Mistakes That Worked: 40 Familiar Inventions & How They Came to Be,$6.99,Charlotte Foltz Jones,2022-10-08
Fundamentos para el tratamiento de aguas residuales I ― Tratamiento líquido,$139.00,Water Environment Federation,2022-10-08
Chemistry Made Easy: An Illustrated Study Guide For Students To Easily Learn Chemistry,$16.02,NEDU,2022-10-08
When I'm an Astronaut: Dreaming is Believing: STEM (Inspirational Careers for Kids),$12.99,Samantha Pillay,2022-10-08
Galaxies: Birth and Destiny of Our Universe,$44.99,none,2022-10-08
Gamer Girls: 25 Women Who Built the Video Game Industry,$17.99,Mary Kenney,2022-10-08
Python for Data Science: A Hands-On Introduction,$27.99,Yuli Vasiliev,2022-10-08
Projections: A Story of Human Emotions,$18.99,Karl Deisseroth,2022-10-08
"Interesting Stories for Curious Kids: A Fascinating Collection of the Most Interesting, Unbelievable, and Craziest Stories on Earth!",$11.90,Bill O'Neill,2022-10-08
Workbook for Platonic - How the Science of Attachment Can Help You Make--and Keep--Friends,$8.99,BGH Books,2022-10-08
The Science of Stuck: Breaking Through Inertia to Find Your Path Forward,$23.49,Britt Frank,2022-10-08
A Grimm Sacrifice: A Military Sci-Fi Series (Grimm's War Book 4),$0.00,Paperback,2022-10-08
"The Ender Saga #1: Ender's Game, Speaker for the Dead, Xenocide, Children of the Mind, Ender in Exile",$18.59,Kindle,2022-10-08
"Unsettled: What Climate Science Tells Us, What It Doesn't, and Why It Matters",$18.89,Steven E. Koonin,2022-10-08
History of the World Map by Map,$35.40,DK,2022-10-08
Science Comics: Dogs: From Predator to Protector,$12.99,Kindle,2022-10-08
The Science of the Mind,$0.00,Kindle,2022-10-08
Saving Nature (Adventures with Buku),$12.99,Alicia Carbo-Guha,2022-10-08
FÍSICA CUÁNTICA PARA PRINCIPIANTES: Los conceptos más interesantes de la Física Cuántica hechos simples y prácticos | Sin matemáticas difíciles (Spanish Edition),$18.95,Pablo Serra,2022-10-08
How To Build A Dragon Or Die Trying: A Satirical Look At Cutting-Edge Science,$21.99,Paul Knoepfler,2022-10-08
Watson in Space,$9.99,Evan  Chandler Ahrendt,2022-10-08
Vax-Unvax: What Does the Science Say? (Children’s Health Defense),$2.99,Hardcover,2022-10-08
Indescribable: 100 Devotions for Kids About God and Science (Indescribable Kids),$12.79,Audible Audiobook,2022-10-08
The Grand Biocentric Design: How Life Creates Reality,$9.99,Robert Lanza,2022-10-08
Fun with 50 States: A Big Activity Book for Kids about the Amazing United States,$7.99,Nicole Claesen,2022-10-08
The Wondrous Workings of Science and Nature Coloring Book: 40 Line Drawings to Color,$14.99,Rachel Ignotofsky,2022-10-08
Starstruck,$0.00,Susan Hayes,2022-10-08
Science Comics Series 18-Book Set,$189.95,none,2022-10-08
Computer Science Principles: The Foundational Concepts of Computer Science,$14.74,Kindle,2022-10-08
My Kindergarten Science Workbook: 101 Games & Activities to Support Kindergarten Science Skills (My Workbook),$12.99,none,2022-10-08
Time Travel Inn (Choose Your Own Adventure),$7.99,Bart King,2022-10-08
All About Weather: A First Weather Book for Kids,$7.69,Kindle,2022-10-08
Eat to Beat Disease: The New Science of How Your Body Can Heal Itself,none,Audible Audiobook,2022-10-08
Empire Eternal: Blazing Galaxy,$0.00,none,2022-10-08
Anatomy & Physiology Made Easy: An Illustrated Study Guide for Students To Easily Learn Anatomy and Physiology,$14.89,NEDU,2022-10-08
"Spectacular Stories for Curious Kids STEM Edition: Fascinating Tales from Science, Technology, Engineering, & Mathematics to Inspire & Amaze Young Readers",$23.75,Kindle,2022-10-08
The Science of Murder,$11.50,Carla Valentine,2022-10-08
Descendants of War: The Complete Series: Space Opera Military Science Fiction (G J Ogden Space Opera Sci-Fi Box Sets Book 4),$0.00,Audible Audiobook,2022-10-08
The Neuroscience of You: How Every Brain Is Different and How to Understand Yours,$0.00,Hardcover,2022-10-08
Reach for the Stars,$14.49,Emily Calandrelli,2022-10-08
National Geographic Kids Almanac 2023 (US edition) (National Geographic Kids Almanac (Hardcover)),$13.79,Paperback,2022-10-08
Everything You Need to Ace Pre-Algebra and Algebra I in One Big Fat Notebook (Big Fat Notebooks),$14.49,Kindle,2022-10-08
"AP Environmental Science Premium, 2022-2023: 5 Practice Tests + Comprehensive Review + Online Practice (Barron's Test Prep)",$18.39,Kindle,2022-10-08
Three Miles Down: A Novel of First Contact in the Tumultuous 1970s,$13.99,Harry Turtledove,2022-10-08
Profiles in Ignorance: How America's Politicians Got Dumb and Dumber,none,Andy Borowitz,2022-10-08
"5000 Amazing Facts For Kids: Learning Facts on Everything From Animals, History, Dinosaurs, Science, Music, & Much More",$15.12,none,2022-10-08
Applications of Metal-Organic Frameworks and Their Derived Materials,$195.68,none,2022-10-08
"The Seed Saving Bible: [3 in 1] How to Store and Keep Your Seeds of Vegetables, Fruits, Plants, and Herbs Fresh for the Next 3 Years of Crisis",$22.47,none,2022-10-08
Quantum Physics for Beginners: An Easy and Complete Physics Book of Its Most Important Theories. Discover the Secrets of Quantum Mechanics from String Theory to Quantum Computing,$13.85,none,2022-10-08
Reach for the Stars,$14.49,none,2022-10-08
